epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,3713.18,0.87022,0.71947,1.10988,0.59136,0.56324,0.55301,0.34971,1.44239,1.32637,1.53788,0.000234065,0.000234065,0.000234065
101,3750.7,0.85249,0.71798,1.10755,0.62859,0.53394,0.54245,0.33959,1.43556,1.31061,1.52564,0.00023254,0.00023254,0.00023254
102,3788.34,0.8604,0.74097,1.11293,0.64884,0.52074,0.53101,0.33125,1.47664,1.35041,1.56017,0.000231015,0.000231015,0.000231015
103,3826.66,0.84347,0.71568,1.10368,0.63133,0.51893,0.55621,0.3516,1.45323,1.29652,1.54612,0.000229491,0.000229491,0.000229491
104,3865.32,0.85392,0.7225,1.11057,0.65498,0.49332,0.5619,0.36119,1.4503,1.30013,1.53644,0.000227966,0.000227966,0.000227966
105,3902.97,0.83261,0.71206,1.09272,0.60408,0.55024,0.56664,0.36294,1.41841,1.26902,1.52619,0.000226442,0.000226442,0.000226442
106,3941.08,0.83929,0.71049,1.09703,0.65332,0.52447,0.55131,0.34241,1.458,1.35006,1.54441,0.000224917,0.000224917,0.000224917
107,3978.3,0.84187,0.71359,1.0971,0.64253,0.53395,0.56287,0.35387,1.44008,1.32558,1.52282,0.000223392,0.000223392,0.000223392
108,4015.06,0.83679,0.70636,1.09308,0.68889,0.50818,0.57671,0.36616,1.4058,1.22453,1.51606,0.000221868,0.000221868,0.000221868
109,4052.57,0.84195,0.70369,1.09583,0.65679,0.50334,0.56245,0.35608,1.4504,1.32145,1.53344,0.000220343,0.000220343,0.000220343
110,4090.04,0.83312,0.709,1.09253,0.68593,0.4791,0.56379,0.34567,1.45081,1.2962,1.54193,0.000218819,0.000218819,0.000218819
111,4127.4,0.82679,0.68732,1.09299,0.62532,0.56046,0.56198,0.34671,1.42074,1.29673,1.5427,0.000217294,0.000217294,0.000217294
112,4165.14,0.82325,0.6906,1.09372,0.65295,0.5515,0.57569,0.35082,1.44763,1.30105,1.56275,0.000215769,0.000215769,0.000215769
113,4202.81,0.82893,0.67674,1.07975,0.67663,0.52596,0.56552,0.34577,1.42563,1.24767,1.56142,0.000214245,0.000214245,0.000214245
114,4240.91,0.8193,0.68971,1.08723,0.63843,0.49054,0.53793,0.33062,1.45164,1.27513,1.55031,0.00021272,0.00021272,0.00021272
115,4278.64,0.82075,0.67889,1.08321,0.60786,0.50654,0.55547,0.3398,1.42541,1.29937,1.53095,0.000211196,0.000211196,0.000211196
116,4315.36,0.81086,0.67128,1.07608,0.60213,0.56768,0.55253,0.34086,1.42446,1.31869,1.53932,0.000209671,0.000209671,0.000209671
117,4352.6,0.82816,0.70155,1.09398,0.68074,0.52228,0.55108,0.34129,1.4377,1.32647,1.53573,0.000208146,0.000208146,0.000208146
118,4390.06,0.82389,0.68124,1.08071,0.61183,0.57361,0.55988,0.33978,1.45848,1.33999,1.55702,0.000206622,0.000206622,0.000206622
119,4427.6,0.80816,0.67745,1.0788,0.5541,0.57556,0.56474,0.34982,1.446,1.29577,1.55173,0.000205097,0.000205097,0.000205097
120,4465.28,0.79609,0.67171,1.07619,0.65285,0.5363,0.56055,0.35179,1.44139,1.32361,1.56259,0.000203573,0.000203573,0.000203573
121,4502.75,0.79472,0.66065,1.07492,0.63484,0.52928,0.55204,0.34897,1.43386,1.33405,1.56565,0.000202048,0.000202048,0.000202048
122,4540.57,0.81171,0.66621,1.0782,0.6408,0.54679,0.5526,0.33623,1.45469,1.38549,1.54739,0.000200523,0.000200523,0.000200523
123,4577.43,0.79648,0.68248,1.07843,0.61009,0.57132,0.5537,0.34285,1.45953,1.3386,1.55422,0.000198999,0.000198999,0.000198999
124,4614.89,0.79022,0.65682,1.07194,0.69306,0.52382,0.56703,0.35038,1.47641,1.34593,1.59638,0.000197474,0.000197474,0.000197474
125,4652.24,0.78202,0.65316,1.07413,0.61086,0.56251,0.55646,0.34098,1.45832,1.33942,1.57017,0.00019595,0.00019595,0.00019595
126,4690.09,0.7917,0.66039,1.07674,0.6446,0.5134,0.55822,0.34428,1.44133,1.29287,1.56604,0.000194425,0.000194425,0.000194425
127,4727.8,0.7799,0.64708,1.06482,0.66592,0.5234,0.54491,0.33586,1.45715,1.31662,1.56603,0.0001929,0.0001929,0.0001929
128,4765.9,0.79227,0.65501,1.07255,0.60747,0.52758,0.54942,0.34211,1.45329,1.31406,1.5752,0.000191376,0.000191376,0.000191376
129,4803.65,0.79262,0.66345,1.07748,0.69551,0.48663,0.54348,0.33332,1.45475,1.34687,1.56971,0.000189851,0.000189851,0.000189851
130,4840.81,0.79772,0.65836,1.07981,0.69205,0.50362,0.55769,0.34756,1.44796,1.29934,1.55974,0.000188327,0.000188327,0.000188327
131,4877.95,0.78633,0.64012,1.06721,0.57514,0.54705,0.54304,0.34186,1.47682,1.30811,1.58184,0.000186802,0.000186802,0.000186802
132,4915.39,0.77229,0.64802,1.06163,0.60174,0.58234,0.57569,0.35636,1.45856,1.33258,1.58023,0.000185277,0.000185277,0.000185277
133,4953.05,0.78835,0.64586,1.07076,0.62973,0.53171,0.55821,0.35103,1.4704,1.32115,1.56808,0.000183753,0.000183753,0.000183753
134,4990.47,0.79135,0.65604,1.07332,0.69225,0.48383,0.53166,0.33782,1.45744,1.31766,1.57755,0.000182228,0.000182228,0.000182228
135,5028.08,0.7685,0.62787,1.0638,0.67488,0.51156,0.55144,0.34317,1.43496,1.37069,1.55607,0.000180704,0.000180704,0.000180704
