epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2107.83,0.99946,0.95575,1.19687,0.62714,0.56483,0.56864,0.34762,1.40772,1.26567,1.47309,0.000304196,0.000304196,0.000304196
55,2146.67,0.99825,0.93976,1.19488,0.65014,0.49975,0.56396,0.35845,1.39457,1.32722,1.45701,0.000302672,0.000302672,0.000302672
56,2185.44,1.01226,0.94452,1.18599,0.62426,0.53036,0.56185,0.35911,1.42294,1.23826,1.47011,0.000301147,0.000301147,0.000301147
57,2224.85,1.00896,0.93836,1.19804,0.66654,0.51539,0.55568,0.3309,1.45006,1.28003,1.49704,0.000299622,0.000299622,0.000299622
58,2264.11,1.00612,0.93967,1.19651,0.59425,0.55069,0.56185,0.35244,1.41012,1.28944,1.48959,0.000298098,0.000298098,0.000298098
59,2303.44,0.99368,0.91722,1.18993,0.63622,0.52251,0.562,0.34661,1.48617,1.34423,1.50551,0.000296573,0.000296573,0.000296573
60,2342.56,0.98634,0.9195,1.18428,0.66142,0.48259,0.56231,0.35256,1.42179,1.24302,1.4937,0.000295049,0.000295049,0.000295049
61,2381.31,0.96634,0.90449,1.16862,0.61589,0.50759,0.54196,0.33685,1.41699,1.25445,1.50826,0.000293524,0.000293524,0.000293524
62,2420.39,0.9878,0.90592,1.18333,0.59713,0.53514,0.54844,0.3386,1.43392,1.29341,1.48122,0.000291999,0.000291999,0.000291999
63,2459.53,0.99781,0.89943,1.18773,0.59159,0.5514,0.55319,0.33989,1.41102,1.28282,1.5005,0.000290475,0.000290475,0.000290475
64,2499.12,0.95607,0.86733,1.16219,0.63268,0.54395,0.58697,0.36128,1.44478,1.25893,1.50657,0.00028895,0.00028895,0.00028895
65,2538.26,0.97022,0.87157,1.17066,0.49482,0.62038,0.57194,0.35365,1.39353,1.19845,1.46832,0.000287426,0.000287426,0.000287426
66,2577.22,0.95337,0.85404,1.15764,0.62916,0.52828,0.56962,0.35406,1.42826,1.22871,1.49783,0.000285901,0.000285901,0.000285901
67,2616.07,0.95404,0.88317,1.1643,0.58626,0.54673,0.55765,0.3542,1.36845,1.25708,1.44738,0.000284376,0.000284376,0.000284376
68,2655.1,0.95621,0.86381,1.16707,0.61628,0.57109,0.56464,0.35099,1.41248,1.27231,1.48274,0.000282852,0.000282852,0.000282852
69,2694.89,0.96513,0.86261,1.15833,0.63613,0.55302,0.56927,0.3585,1.40837,1.25343,1.46865,0.000281327,0.000281327,0.000281327
70,2733.92,0.93256,0.84093,1.15272,0.62452,0.49456,0.57366,0.35191,1.42581,1.23099,1.47631,0.000279803,0.000279803,0.000279803
71,2773.08,0.93661,0.83118,1.14982,0.62918,0.54308,0.56236,0.3431,1.472,1.29609,1.53162,0.000278278,0.000278278,0.000278278
72,2812.83,0.96274,0.84835,1.16732,0.644,0.49728,0.54255,0.3344,1.42709,1.28032,1.4921,0.000276753,0.000276753,0.000276753
73,2852.02,0.92975,0.83885,1.15496,0.64612,0.52057,0.56652,0.35472,1.40215,1.29053,1.48379,0.000275229,0.000275229,0.000275229
74,2891.44,0.93225,0.84056,1.16133,0.5366,0.59607,0.56408,0.35021,1.43629,1.28015,1.48265,0.000273704,0.000273704,0.000273704
75,2930.68,0.94913,0.84124,1.15366,0.68187,0.5265,0.56982,0.3566,1.41255,1.24039,1.46611,0.00027218,0.00027218,0.00027218
76,2970.21,0.93434,0.83006,1.15322,0.70271,0.53846,0.58819,0.36396,1.44804,1.26207,1.50312,0.000270655,0.000270655,0.000270655
77,3009.06,0.92213,0.82334,1.14502,0.58912,0.5915,0.5641,0.35083,1.41208,1.25365,1.50189,0.00026913,0.00026913,0.00026913
78,3048.31,0.92779,0.81674,1.15122,0.59852,0.51404,0.5627,0.35014,1.46528,1.27996,1.53621,0.000267606,0.000267606,0.000267606
79,3088.06,0.93016,0.80614,1.14332,0.6302,0.48604,0.55976,0.3466,1.43518,1.27,1.51863,0.000266081,0.000266081,0.000266081
80,3127.74,0.92575,0.81513,1.14123,0.60594,0.4948,0.55104,0.34363,1.44384,1.32818,1.52756,0.000264557,0.000264557,0.000264557
81,3166.14,0.92166,0.81327,1.14482,0.63117,0.47394,0.55983,0.34803,1.4512,1.27049,1.52634,0.000263032,0.000263032,0.000263032
82,3204.33,0.8992,0.78231,1.1315,0.61858,0.50286,0.57447,0.36776,1.44514,1.24733,1.50734,0.000261507,0.000261507,0.000261507
83,3243.56,0.92218,0.81172,1.14626,0.58676,0.59937,0.5743,0.35923,1.45018,1.23307,1.52877,0.000259983,0.000259983,0.000259983
84,3282.07,0.89472,0.7862,1.1345,0.62338,0.55273,0.57642,0.36259,1.42443,1.30339,1.511,0.000258458,0.000258458,0.000258458
85,3320.6,0.8943,0.785,1.13928,0.70795,0.48537,0.57103,0.3553,1.48635,1.26739,1.55053,0.000256934,0.000256934,0.000256934
86,3360.32,0.90003,0.78555,1.13438,0.55439,0.56492,0.57195,0.358,1.42859,1.22786,1.53762,0.000255409,0.000255409,0.000255409
87,3399.27,0.89703,0.77906,1.13118,0.61306,0.53603,0.54276,0.33882,1.4402,1.29288,1.52636,0.000253884,0.000253884,0.000253884
88,3438.34,0.8902,0.75907,1.12408,0.60961,0.52025,0.54759,0.34139,1.47126,1.28192,1.53632,0.00025236,0.00025236,0.00025236
89,3477.99,0.89045,0.75881,1.11754,0.64488,0.55063,0.56525,0.35013,1.41876,1.26609,1.5155,0.000250835,0.000250835,0.000250835
90,3516.62,0.87582,0.75764,1.11724,0.61749,0.49185,0.53624,0.33338,1.4319,1.28899,1.50984,0.000249311,0.000249311,0.000249311
91,3555.7,0.87483,0.75628,1.11973,0.58202,0.53659,0.55469,0.34038,1.43804,1.29243,1.58646,0.000247786,0.000247786,0.000247786
92,3594.78,0.89027,0.76558,1.13797,0.62985,0.51396,0.5569,0.34237,1.47307,1.29301,1.53611,0.000246261,0.000246261,0.000246261
93,3633.7,0.86626,0.7478,1.11548,0.59882,0.55847,0.56946,0.34808,1.45894,1.24244,1.53689,0.000244737,0.000244737,0.000244737
94,3673.1,0.86929,0.7417,1.11629,0.69868,0.53099,0.5787,0.35533,1.45048,1.23398,1.53669,0.000243212,0.000243212,0.000243212
95,3712.28,0.86212,0.73101,1.11074,0.62618,0.52801,0.57087,0.35655,1.43522,1.26423,1.53678,0.000241688,0.000241688,0.000241688
96,3751.48,0.87806,0.74217,1.11749,0.71524,0.501,0.55505,0.35259,1.43619,1.25685,1.53179,0.000240163,0.000240163,0.000240163
97,3790.83,0.8487,0.73434,1.10881,0.64489,0.52728,0.57255,0.3507,1.45678,1.29111,1.53999,0.000238638,0.000238638,0.000238638
98,3830.28,0.8644,0.73657,1.11402,0.55676,0.55094,0.54256,0.34427,1.44553,1.31839,1.53101,0.000237114,0.000237114,0.000237114
99,3869.36,0.85636,0.72455,1.10702,0.62451,0.51964,0.55393,0.34356,1.46964,1.30259,1.54535,0.000235589,0.000235589,0.000235589
