epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,4224.22,0.78252,0.64919,1.0693,0.55228,0.63534,0.6211,0.39401,1.38358,1.20202,1.53077,0.00017428,0.00017428,0.00017428
116,4260.16,0.77414,0.6462,1.07362,0.67505,0.53564,0.6003,0.38594,1.36798,1.21412,1.52702,0.0001723,0.0001723,0.0001723
117,4296.6,0.76796,0.64897,1.07096,0.61903,0.59853,0.62471,0.39609,1.38002,1.20938,1.52637,0.00017032,0.00017032,0.00017032
118,4332.27,0.77556,0.654,1.0693,0.68813,0.55488,0.6409,0.4059,1.38297,1.19555,1.5261,0.00016834,0.00016834,0.00016834
119,4367.91,0.79404,0.64913,1.06898,0.63725,0.58216,0.6068,0.38264,1.39112,1.2387,1.54216,0.00016636,0.00016636,0.00016636
120,4404.64,0.75294,0.63407,1.06018,0.59368,0.62637,0.61395,0.39014,1.39168,1.21531,1.5299,0.00016438,0.00016438,0.00016438
121,4441.23,0.74995,0.63777,1.05619,0.6093,0.60982,0.61295,0.38921,1.40537,1.22034,1.55064,0.0001624,0.0001624,0.0001624
122,4476.99,0.75875,0.63832,1.0614,0.68482,0.55937,0.63626,0.40379,1.39325,1.20176,1.54416,0.00016042,0.00016042,0.00016042
123,4512.79,0.749,0.63002,1.054,0.60967,0.59999,0.61105,0.3858,1.38439,1.23589,1.54163,0.00015844,0.00015844,0.00015844
124,4549.37,0.75412,0.62,1.05613,0.67608,0.54371,0.61343,0.3849,1.3974,1.21586,1.54618,0.00015646,0.00015646,0.00015646
125,4585.99,0.75536,0.62738,1.05889,0.76645,0.5143,0.6122,0.39672,1.37434,1.23548,1.53698,0.00015448,0.00015448,0.00015448
126,4621.7,0.76466,0.62969,1.05853,0.77886,0.5083,0.61502,0.40339,1.38796,1.26144,1.55203,0.0001525,0.0001525,0.0001525
127,4658.04,0.75165,0.60792,1.06176,0.51964,0.65776,0.628,0.40594,1.36741,1.23479,1.51941,0.00015052,0.00015052,0.00015052
128,4694.56,0.757,0.62475,1.05592,0.59194,0.56754,0.59012,0.37445,1.40562,1.25965,1.54461,0.00014854,0.00014854,0.00014854
129,4731.07,0.75197,0.62213,1.06402,0.58131,0.597,0.62071,0.3864,1.41711,1.22476,1.55771,0.00014656,0.00014656,0.00014656
130,4766.26,0.74257,0.60344,1.05285,0.72841,0.55651,0.63417,0.39346,1.43125,1.23324,1.56021,0.00014458,0.00014458,0.00014458
131,4802.64,0.74815,0.61203,1.05488,0.66932,0.59659,0.64959,0.41048,1.40867,1.18473,1.55557,0.0001426,0.0001426,0.0001426
132,4838.87,0.73405,0.61357,1.05393,0.69047,0.54191,0.6402,0.40237,1.40607,1.22325,1.56577,0.00014062,0.00014062,0.00014062
133,4873.67,0.73493,0.61595,1.05114,0.7225,0.52572,0.63774,0.4104,1.38695,1.21438,1.52821,0.00013864,0.00013864,0.00013864
134,4909.58,0.73796,0.60284,1.04588,0.66703,0.54862,0.63149,0.40495,1.36787,1.21634,1.53241,0.00013666,0.00013666,0.00013666
135,4945.46,0.72976,0.59789,1.04175,0.69277,0.53081,0.61647,0.39925,1.40069,1.23081,1.55934,0.00013468,0.00013468,0.00013468
136,4981.07,0.71158,0.60605,1.04699,0.673,0.5589,0.60491,0.39385,1.3832,1.23969,1.53886,0.0001327,0.0001327,0.0001327
137,5016.2,0.72559,0.59357,1.04912,0.60245,0.62362,0.62127,0.4029,1.39494,1.21374,1.54937,0.00013072,0.00013072,0.00013072
138,5052.11,0.71469,0.58726,1.04252,0.72968,0.54976,0.63724,0.40678,1.37872,1.1798,1.54717,0.00012874,0.00012874,0.00012874
139,5088.05,0.71723,0.57737,1.03942,0.69506,0.52627,0.62697,0.39871,1.39008,1.20001,1.54181,0.00012676,0.00012676,0.00012676
140,5123,0.73613,0.61151,1.05551,0.65543,0.5753,0.62784,0.40022,1.38646,1.21964,1.54692,0.00012478,0.00012478,0.00012478
141,5158.99,0.71556,0.58587,1.03692,0.64651,0.56746,0.63702,0.40312,1.38435,1.23171,1.54222,0.0001228,0.0001228,0.0001228
142,5195.13,0.71509,0.58109,1.041,0.6035,0.59938,0.63201,0.40512,1.3818,1.23053,1.5329,0.00012082,0.00012082,0.00012082
143,5230.13,0.71614,0.57982,1.03928,0.6688,0.57783,0.62987,0.40252,1.38132,1.23822,1.52593,0.00011884,0.00011884,0.00011884
144,5266.02,0.7111,0.58066,1.04065,0.64678,0.59935,0.63036,0.40163,1.38353,1.23124,1.54402,0.00011686,0.00011686,0.00011686
145,5302.2,0.70519,0.58115,1.0366,0.65407,0.57134,0.6152,0.39157,1.38765,1.23384,1.54683,0.00011488,0.00011488,0.00011488
146,5337.89,0.7119,0.58069,1.03394,0.62306,0.57647,0.60995,0.38436,1.38583,1.1886,1.55495,0.0001129,0.0001129,0.0001129
147,5372.75,0.72832,0.59207,1.04096,0.67175,0.5476,0.62104,0.39897,1.3801,1.24013,1.55435,0.00011092,0.00011092,0.00011092
148,5408.78,0.68858,0.56445,1.02931,0.56203,0.60851,0.6059,0.38383,1.38844,1.26783,1.56434,0.00010894,0.00010894,0.00010894
149,5445.04,0.69857,0.5757,1.03072,0.62197,0.58477,0.62429,0.39542,1.38286,1.22894,1.55003,0.00010696,0.00010696,0.00010696
150,5479.69,0.70761,0.57409,1.03887,0.63214,0.60401,0.62488,0.38836,1.39494,1.25032,1.57201,0.00010498,0.00010498,0.00010498
151,5516.48,0.70461,0.57296,1.0327,0.63552,0.57552,0.61618,0.39324,1.38864,1.26371,1.55431,0.000103,0.000103,0.000103
152,5552.96,0.68,0.55515,1.02469,0.62251,0.60904,0.62703,0.39749,1.38816,1.2547,1.5523,0.00010102,0.00010102,0.00010102
153,5588.92,0.68056,0.55137,1.02292,0.63827,0.55125,0.62663,0.39615,1.38528,1.22322,1.55649,9.904e-05,9.904e-05,9.904e-05
154,5623.88,0.69485,0.57413,1.03481,0.63257,0.56543,0.60129,0.3759,1.39604,1.25823,1.5704,9.706e-05,9.706e-05,9.706e-05
155,5660.19,0.68236,0.55542,1.02657,0.59999,0.57704,0.61225,0.38522,1.40235,1.25106,1.56908,9.508e-05,9.508e-05,9.508e-05
156,5696.24,0.67553,0.54745,1.02445,0.60265,0.55971,0.60276,0.37484,1.41776,1.27314,1.59085,9.31e-05,9.31e-05,9.31e-05
